S_CODE,S_CITY,E_CODE,E_CITY,COUPON,NEW,VACATION,SW,HI,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,PAX,FARE
ORD,Chicago             IL,*,Minneapolis/St Paul MN,1.01,3,No,No,3911.167468,29260,28739,7830332,2761118,Controlled,Constrained,342,29137,156.93
MDW,Chicago             IL,*,Minneapolis/St Paul MN,1.01,3,No,No,3911.167468,29260,28739,7830332,2761118,Free,Constrained,342,29137,156.93
*,Dallas/Fort Worth   TX,*,Minneapolis/St Paul MN,1.1,3,No,No,4540.30106,28637,28739,3036732,2761118,Free,Constrained,857,6621,230.71
*,Denver              CO,*,Minneapolis/St Paul MN,1.02,3,No,No,4347.483461,29055,28739,1862106,2761118,Free,Constrained,693,10147,133.5
*,Detroit             MI,*,Minneapolis/St Paul MN,1.14,3,No,No,9249.131216,26506,28739,4459144,2761118,Free,Constrained,530,5389,286.54
*,Kansas City         MO,*,Minneapolis/St Paul MN,1.19,3,No,No,7958.31083,25450,28739,1694803,2761118,Free,Constrained,401,3733,232.55
*,Las Vegas           NV,*,Minneapolis/St Paul MN,1.13,3,Yes,No,6172.119157,24575,28739,1197234,2761118,Free,Constrained,1301,4353,171.67
*,Los Angeles         CA,*,Minneapolis/St Paul MN,1.24,3,No,No,6166.104324,24706,28739,9056076,2761118,Free,Constrained,1539,7749,246.1
ORD,Chicago             IL,*,Nashville           TN,1.02,3,No,Yes,3463.960734,29260,25995,7830332,1115048,Controlled,Free,401,10902,84.21
MDW,Chicago             IL,*,Nashville           TN,1.02,3,No,Yes,3463.960734,29260,25995,7830332,1115048,Free,Free,401,10902,84.21
*,Dallas/Fort Worth   TX,*,Nashville           TN,1.1,3,No,No,7138.340882,28637,25995,3036732,1115048,Free,Free,634,4632,181.99
*,Detroit             MI,*,Nashville           TN,1.16,2,No,Yes,7746.626652,26506,25995,4459144,1115048,Free,Constrained,466,6143,166.25
*,Houston             TX,*,Nashville           TN,1.08,3,No,Yes,4722.174858,27211,25995,3770125,1115048,Free,Free,671,5772,107.86
*,Los Angeles         CA,*,Nashville           TN,1.57,2,No,Yes,3106.383358,24706,25995,9056076,1115048,Free,Free,1798,4462,181.02
JFK,New York/Newark     NY,*,Nashville           TN,1.26,3,No,No,3647.271582,32991,25995,8621121,1115048,Controlled,Free,760,7387,215.01
LGA,New York/Newark     NY,*,Nashville           TN,1.26,3,No,No,3647.271582,32991,25995,8621121,1115048,Controlled,Free,760,7387,215.01
EWR,New York/Newark     NY,*,Nashville           TN,1.26,3,No,No,3647.271582,32991,25995,8621121,1115048,Free,Constrained,760,7387,215.01
*,Orlando             FL,*,Nashville           TN,1.17,1,Yes,Yes,2173.452527,22360,25995,1421287,1115048,Free,Free,615,6224,87.8
*,Atlanta             GA,*,New Orleans         LA,1.02,3,No,No,6269.745969,26993,22038,3532657,1308499,Free,Free,419,7796,120.7
ORD,Chicago             IL,*,New Orleans         LA,1.2,3,No,Yes,2621.007696,29260,22038,7830332,1308499,Controlled,Free,829,8356,132.85
MDW,Chicago             IL,*,New Orleans         LA,1.2,3,No,Yes,2621.007696,29260,22038,7830332,1308499,Free,Free,829,8356,132.85
*,Dallas/Fort Worth   TX,*,New Orleans         LA,1.05,3,No,Yes,4060.654148,28637,22038,3036732,1308499,Free,Free,455,12717,84.53
*,Houston             TX,*,New Orleans         LA,1.01,3,No,Yes,5117.492219,27211,22038,3770125,1308499,Free,Free,319,19894,76.81
*,Los Angeles         CA,*,New Orleans         LA,1.43,3,No,Yes,2605.054389,24706,22038,9056076,1308499,Free,Free,1678,5559,202
*,Albuquerque         NM,JFK,New York/Newark     NY,1.92,3,No,No,1940.172197,22089,32991,668159,8621121,Controlled,Free,1822,4002,208.79
*,Albuquerque         NM,LGA,New York/Newark     NY,1.92,3,No,No,1940.172197,22089,32991,668159,8621121,Controlled,Free,1822,4002,208.79
*,Albuquerque         NM,EWR,New York/Newark     NY,1.92,3,No,No,1940.172197,22089,32991,668159,8621121,Free,Constrained,1822,4002,208.79
*,Atlanta             GA,JFK,New York/Newark     NY,1.06,3,No,No,4593.383078,26993,32991,3532657,8621121,Controlled,Free,756,48642,162.28
*,Atlanta             GA,LGA,New York/Newark     NY,1.06,3,No,No,4593.383078,26993,32991,3532657,8621121,Controlled,Free,756,48642,162.28
*,Atlanta             GA,EWR,New York/Newark     NY,1.06,3,No,No,4593.383078,26993,32991,3532657,8621121,Free,Constrained,756,48642,162.28
*,Austin              TX,JFK,New York/Newark     NY,1.69,3,No,No,3447.627514,23665,32991,1038660,8621121,Controlled,Free,1515,3802,287.23
*,Austin              TX,LGA,New York/Newark     NY,1.69,3,No,No,3447.627514,23665,32991,1038660,8621121,Controlled,Free,1515,3802,287.23
*,Austin              TX,EWR,New York/Newark     NY,1.69,3,No,No,3447.627514,23665,32991,1038660,8621121,Free,Constrained,1515,3802,287.23
*,Boston              MA,JFK,New York/Newark     NY,1,3,No,No,2850.328073,30124,32991,5787293,8621121,Controlled,Free,183,66820,116.78
*,Boston              MA,LGA,New York/Newark     NY,1,3,No,No,2850.328073,30124,32991,5787293,8621121,Controlled,Free,183,66820,116.78
*,Boston              MA,EWR,New York/Newark     NY,1,3,No,No,2850.328073,30124,32991,5787293,8621121,Free,Constrained,183,66820,116.78
ORD,Chicago             IL,JFK,New York/Newark     NY,1.05,3,No,No,3316.895019,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
ORD,Chicago             IL,LGA,New York/Newark     NY,1.05,3,No,No,3316.895019,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
ORD,Chicago             IL,EWR,New York/Newark     NY,1.05,3,No,No,3316.895019,29260,32991,7830332,8621121,Controlled,Constrained,723,73892,159.71
MDW,Chicago             IL,JFK,New York/Newark     NY,1.05,3,No,No,3316.895019,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
MDW,Chicago             IL,LGA,New York/Newark     NY,1.05,3,No,No,3316.895019,29260,32991,7830332,8621121,Controlled,Free,723,73892,159.71
MDW,Chicago             IL,EWR,New York/Newark     NY,1.05,3,No,No,3316.895019,29260,32991,7830332,8621121,Free,Constrained,723,73892,159.71
*,Cincinnati          OH,JFK,New York/Newark     NY,1.1,3,No,No,6102.030388,25059,32991,1595139,8621121,Controlled,Constrained,582,9567,205
*,Cincinnati          OH,LGA,New York/Newark     NY,1.1,3,No,No,6102.030388,25059,32991,1595139,8621121,Controlled,Constrained,582,9567,205
*,Cincinnati          OH,EWR,New York/Newark     NY,1.1,3,No,No,6102.030388,25059,32991,1595139,8621121,Free,Constrained,582,9567,205
*,Cleveland           OH,JFK,New York/Newark     NY,1.07,3,No,No,6798.937657,26046,32991,2230955,8621121,Controlled,Free,408,13252,143.44
*,Cleveland           OH,LGA,New York/Newark     NY,1.07,3,No,No,6798.937657,26046,32991,2230955,8621121,Controlled,Free,408,13252,143.44
*,Cleveland           OH,EWR,New York/Newark     NY,1.07,3,No,No,6798.937657,26046,32991,2230955,8621121,Free,Constrained,408,13252,143.44
*,Columbus            OH,JFK,New York/Newark     NY,1.11,0,No,No,3046.453115,24502,32991,125722,8621121,Controlled,Free,475,10168,174.87
*,Columbus            OH,LGA,New York/Newark     NY,1.11,3,No,No,3046.453115,24502,32991,125722,8621121,Controlled,Free,475,10168,174.87
*,Columbus            OH,EWR,New York/Newark     NY,1.11,3,No,No,3046.453115,24502,32991,125722,8621121,Free,Constrained,475,10168,174.87
*,Dallas/Fort Worth   TX,JFK,New York/Newark     NY,1.12,3,No,No,6583.719434,28637,32991,3036732,8621121,Controlled,Free,1389,24082,304.18
*,Dallas/Fort Worth   TX,LGA,New York/Newark     NY,1.12,3,No,No,6583.719434,28637,32991,3036732,8621121,Controlled,Free,1389,24082,304.18
*,Dallas/Fort Worth   TX,EWR,New York/Newark     NY,1.12,3,No,No,6583.719434,28637,32991,3036732,8621121,Free,Constrained,1389,24082,304.18
*,Denver              CO,JFK,New York/Newark     NY,1.25,3,No,No,4809.098342,29055,32991,1862106,8621121,Controlled,Free,1624,16240,270.36
*,Denver              CO,LGA,New York/Newark     NY,1.25,3,No,No,4809.098342,29055,32991,1862106,8621121,Controlled,Free,1624,16240,270.36
*,Denver              CO,EWR,New York/Newark     NY,1.25,3,No,No,4809.098342,29055,32991,1862106,8621121,Free,Constrained,1624,16240,270.36
*,Detroit             MI,JFK,New York/Newark     NY,1.06,3,No,No,5430.524412,26506,32991,4459144,8621121,Controlled,Constrained,492,17775,209.35
*,Detroit             MI,LGA,New York/Newark     NY,1.06,3,No,No,5430.524412,26506,32991,4459144,8621121,Controlled,Constrained,492,17775,209.35
*,Detroit             MI,EWR,New York/Newark     NY,1.06,3,No,No,5430.524412,26506,32991,4459144,8621121,Free,Constrained,492,17775,209.35
*,Fort Lauderdale     FL,JFK,New York/Newark     NY,1.06,3,Yes,No,2828.160659,26752,32991,1440377,8621121,Controlled,Free,1068,40159,123.18
*,Fort Lauderdale     FL,LGA,New York/Newark     NY,1.06,3,Yes,No,2828.160659,26752,32991,1440377,8621121,Controlled,Free,1068,40159,123.18
*,Fort Lauderdale     FL,EWR,New York/Newark     NY,1.06,3,Yes,No,2828.160659,26752,32991,1440377,8621121,Free,Constrained,1068,40159,123.18
*,Fort Meyers         FL,JFK,New York/Newark     NY,1.22,3,Yes,No,3536.162645,24510,32991,379566,8621121,Controlled,Free,1076,9399,143.2
*,Fort Meyers         FL,LGA,New York/Newark     NY,1.22,3,Yes,No,3536.162645,24510,32991,379566,8621121,Controlled,Free,1076,9399,143.2
*,Fort Meyers         FL,EWR,New York/Newark     NY,1.22,3,Yes,No,3536.162645,24510,32991,379566,8621121,Free,Constrained,1076,9399,143.2
*,Greenville/Sprtnbg  SC,JFK,New York/Newark     NY,1.29,0,No,No,3151.9994,21081,32991,895123,8621121,Controlled,Free,613,3806,144.6
*,Greenville/Sprtnbg  SC,LGA,New York/Newark     NY,1.29,3,No,No,3151.9994,21081,32991,895123,8621121,Controlled,Free,613,3806,144.6
*,Greenville/Sprtnbg  SC,EWR,New York/Newark     NY,1.29,3,No,No,3151.9994,21081,32991,895123,8621121,Free,Constrained,613,3806,144.6
*,Houston             TX,JFK,New York/Newark     NY,1.29,1,No,No,6438.267093,27211,32991,3770125,8621121,Controlled,Free,1426,15711,349.53
*,Houston             TX,LGA,New York/Newark     NY,1.29,3,No,No,6438.267093,27211,32991,3770125,8621121,Controlled,Free,1426,15711,349.53
*,Houston             TX,EWR,New York/Newark     NY,1.29,3,No,No,6438.267093,27211,32991,3770125,8621121,Free,Constrained,1426,15711,349.53
*,Jacksonville        FL,JFK,New York/Newark     NY,1.34,3,Yes,No,3840.276922,23614,32991,1008768,8621121,Controlled,Free,842,7098,183.43
*,Jacksonville        FL,LGA,New York/Newark     NY,1.34,3,Yes,No,3840.276922,23614,32991,1008768,8621121,Controlled,Free,842,7098,183.43
*,Jacksonville        FL,EWR,New York/Newark     NY,1.34,3,Yes,No,3840.276922,23614,32991,1008768,8621121,Free,Constrained,842,7098,183.43
*,Kansas City         MO,JFK,New York/Newark     NY,1.4,3,No,No,2617.869354,25450,32991,1694803,8621121,Controlled,Free,1103,7543,223.99
*,Kansas City         MO,LGA,New York/Newark     NY,1.4,0,No,No,2617.869354,25450,32991,1694803,8621121,Controlled,Free,1103,7543,223.99
*,Kansas City         MO,EWR,New York/Newark     NY,1.4,3,No,No,2617.869354,25450,32991,1694803,8621121,Free,Constrained,1103,7543,223.99
*,Las Vegas           NV,JFK,New York/Newark     NY,1.36,3,Yes,No,2263.809094,24575,32991,1197234,8621121,Controlled,Free,2237,26582,169.41
*,Las Vegas           NV,LGA,New York/Newark     NY,1.36,3,Yes,No,2263.809094,24575,32991,1197234,8621121,Controlled,Free,2237,26582,169.41
*,Las Vegas           NV,EWR,New York/Newark     NY,1.36,3,Yes,No,2263.809094,24575,32991,1197234,8621121,Free,Constrained,2237,26582,169.41
*,Los Angeles         CA,JFK,New York/Newark     NY,1.17,3,No,No,2517.735642,24706,32991,9056076,8621121,Controlled,Free,2467,60435,326.47
*,Los Angeles         CA,LGA,New York/Newark     NY,1.17,3,No,No,2517.735642,24706,32991,9056076,8621121,Controlled,Free,2467,60435,326.47
*,Los Angeles         CA,EWR,New York/Newark     NY,1.17,3,No,No,2517.735642,24706,32991,9056076,8621121,Free,Constrained,2467,60435,326.47
*,Memphis             TN,JFK,New York/Newark     NY,1.29,3,No,No,6317.554994,24725,32991,1074558,8621121,Controlled,Free,951,4614,234.31
*,Memphis             TN,LGA,New York/Newark     NY,1.29,3,No,No,6317.554994,24725,32991,1074558,8621121,Controlled,Free,951,4614,234.31
*,Memphis             TN,EWR,New York/Newark     NY,1.29,3,No,No,6317.554994,24725,32991,1074558,8621121,Free,Constrained,951,4614,234.31
*,Miami               FL,JFK,New York/Newark     NY,1.05,3,Yes,No,3042.085699,21207,32991,2105604,8621121,Controlled,Free,1097,51122,124.92
*,Miami               FL,LGA,New York/Newark     NY,1.05,3,Yes,No,3042.085699,21207,32991,2105604,8621121,Controlled,Free,1097,51122,124.92
*,Miami               FL,EWR,New York/Newark     NY,1.05,3,Yes,No,3042.085699,21207,32991,2105604,8621121,Free,Constrained,1097,51122,124.92
*,Minneapolis/St Paul MN,JFK,New York/Newark     NY,1.15,3,No,No,6143.2043,28739,32991,2761118,8621121,Controlled,Constrained,1015,13123,278.39
*,Minneapolis/St Paul MN,LGA,New York/Newark     NY,1.15,3,No,No,6143.2043,28739,32991,2761118,8621121,Controlled,Constrained,1015,13123,278.39
*,Minneapolis/St Paul MN,EWR,New York/Newark     NY,1.15,3,No,No,6143.2043,28739,32991,2761118,8621121,Free,Constrained,1015,13123,278.39
*,New Orleans         LA,JFK,New York/Newark     NY,1.42,3,No,No,2995.099691,22038,32991,1308499,8621121,Controlled,Free,1173,10334,208.71
*,New Orleans         LA,LGA,New York/Newark     NY,1.42,3,No,No,2995.099691,22038,32991,1308499,8621121,Controlled,Free,1173,10334,208.71
*,New Orleans         LA,EWR,New York/Newark     NY,1.42,3,No,No,2995.099691,22038,32991,1308499,8621121,Free,Constrained,1173,10334,208.71
*,Norfolk/Va B/Pt/Ch  VA,JFK,New York/Newark     NY,1.02,0,No,No,3585.860046,21125,32991,1536012,8621121,Controlled,Free,291,6295,150.13
*,Norfolk/Va B/Pt/Ch  VA,LGA,New York/Newark     NY,1.02,3,No,No,3585.860046,21125,32991,1536012,8621121,Controlled,Free,291,6295,150.13
*,Norfolk/Va B/Pt/Ch  VA,EWR,New York/Newark     NY,1.02,3,No,No,3585.860046,21125,32991,1536012,8621121,Free,Constrained,291,6295,150.13
*,Burbank             CA,*,Oakland             CA,1,3,No,Yes,8795.727579,24706,29846,9056076,2237227,Free,Free,325,23041,56.43
*,Las Vegas           NV,*,Oakland             CA,1.05,0,Yes,Yes,9062.947119,24575,29846,1197234,2237227,Free,Free,407,13356,58.03
*,Los Angeles         CA,*,Oakland             CA,1,3,No,Yes,5391.076676,24706,29846,9056076,2237227,Free,Free,334,43884,53.8
*,Dallas/Fort Worth   TX,*,Oklahoma City       OK,1,1,No,Yes,5149.025673,28637,20927,3036732,1021733,Free,Free,180,7646,66.14
*,Houston             TX,*,Oklahoma City       OK,1.09,3,No,Yes,4897.641982,27211,20927,3770125,1021733,Free,Free,410,5425,96.18
ORD,Chicago             IL,*,Omaha               NE,1.02,3,No,Yes,5230.317052,29260,25127,7830332,679984,Controlled,Free,428,8724,67.77
MDW,Chicago             IL,*,Omaha               NE,1.02,3,No,Yes,5230.317052,29260,25127,7830332,679984,Free,Free,428,8724,67.77
*,Denver              CO,*,Omaha               NE,1,3,No,No,6131.5992,29055,25127,1862106,679984,Free,Free,474,3734,139.81
*,Atlanta             GA,*,Orlando             FL,1.01,3,Yes,No,4581.033514,26993,22360,3532657,1421287,Free,Free,404,18673,92.78
*,Boston              MA,*,Orlando             FL,1.24,3,Yes,No,3123.345816,30124,22360,5787293,1421287,Free,Free,1119,23222,117.97
ORD,Chicago             IL,*,Orlando             FL,1.09,3,Yes,Yes,1853.534059,29260,22360,7830332,1421287,Controlled,Free,995,26034,121.67
MDW,Chicago             IL,*,Orlando             FL,1.09,3,Yes,Yes,1853.534059,29260,22360,7830332,1421287,Free,Free,995,26034,121.67
*,Cincinnati          OH,*,Orlando             FL,1.17,3,Yes,No,5313.074835,25059,22360,1595139,1421287,Free,Constrained,756,5235,138.88
*,Cleveland           OH,*,Orlando             FL,1.34,3,Yes,No,4568.577223,26046,22360,2230955,1421287,Free,Free,902,5696,140.9
*,Columbus            OH,*,Orlando             FL,1.5,0,Yes,Yes,2082.226798,24502,22360,125722,1421287,Free,Free,802,6399,104.33
*,Dallas/Fort Worth   TX,*,Orlando             FL,1.08,3,Yes,No,3819.519869,28637,22360,3036732,1421287,Free,Free,984,11392,153.58
*,Denver              CO,*,Orlando             FL,1.55,3,Yes,No,3651.908434,29055,22360,1862106,1421287,Free,Free,1545,5820,201.43
*,Detroit             MI,*,Orlando             FL,1.16,3,Yes,No,5790.88016,26506,22360,4459144,1421287,Free,Constrained,963,16414,102.95
*,Fort Lauderdale     FL,*,Orlando             FL,1,3,Yes,Yes,4144.011093,26752,22360,1440377,1421287,Free,Free,174,9216,45.55
*,Hartford            CT,*,Orlando             FL,1.36,3,Yes,No,3217.369722,30268,22360,1106780,1421287,Free,Free,1045,9823,114.5
*,Houston             TX,*,Orlando             FL,1.28,3,Yes,Yes,4843.93984,27211,22360,3770125,1421287,Free,Free,856,5798,150.04
*,Kansas City         MO,*,Orlando             FL,1.68,0,Yes,Yes,1771.850445,25450,22360,1694803,1421287,Free,Free,1064,5610,121.35
*,Las Vegas           NV,*,Orlando             FL,1.48,3,Yes,No,3285.293395,24575,22360,1197234,1421287,Free,Free,2035,5829,117.59
*,Los Angeles         CA,*,Orlando             FL,1.4,3,Yes,No,4628.936433,24706,22360,9056076,1421287,Free,Free,2216,8084,258.43
*,Miami               FL,*,Orlando             FL,1,0,Yes,No,5149.70194,21207,22360,2105604,1421287,Free,Free,192,7967,96.53
*,Miami               FL,*,Orlando             FL,1,0,Yes,No,5149.70194,21207,22360,2105604,1421287,Free,Free,192,7967,96.53
*,Minneapolis/St Paul MN,*,Orlando             FL,1.34,3,Yes,No,6037.841514,28739,22360,2761118,1421287,Free,Constrained,1308,4978,204.62
*,New Orleans         LA,*,Orlando             FL,1.3,3,Yes,Yes,2424.611898,22038,22360,1308499,1421287,Free,Free,541,5057,92.35
JFK,New York/Newark     NY,*,Orlando             FL,1.08,3,Yes,No,2386.852227,32991,22360,8621121,1421287,Controlled,Free,947,54990,123.97
LGA,New York/Newark     NY,*,Orlando             FL,1.08,3,Yes,No,2386.852227,32991,22360,8621121,1421287,Controlled,Free,947,54990,123.97
EWR,New York/Newark     NY,*,Orlando             FL,1.08,3,Yes,No,2386.852227,32991,22360,8621121,1421287,Free,Constrained,947,54990,123.97
*,Atlanta             GA,*,Philadelphia/Camden PA,1.06,3,No,No,4248.472107,26993,27994,3532657,4948339,Free,Free,674,16512,125.09
*,Boston              MA,*,Philadelphia/Camden PA,1.02,0,No,No,9649.01234,30124,27994,5787293,4948339,Free,Free,265,17196,138.56
ORD,Chicago             IL,*,Philadelphia/Camden PA,1.08,3,No,No,3748.60103,29260,27994,7830332,4948339,Controlled,Free,673,16559,215.06
MDW,Chicago             IL,*,Philadelphia/Camden PA,1.08,3,No,No,3748.60103,29260,27994,7830332,4948339,Free,Free,673,16559,215.06
*,Dallas/Fort Worth   TX,*,Philadelphia/Camden PA,1.17,3,No,No,5921.733597,28637,27994,3036732,4948339,Free,Free,1314,7630,249.45
*,Denver              CO,*,Philadelphia/Camden PA,1.35,3,No,No,5840.941311,29055,27994,1862106,4948339,Free,Free,1568,3599,335.55
*,Detroit             MI,*,Philadelphia/Camden PA,1.05,3,No,No,4597.286997,26506,27994,4459144,4948339,Free,Constrained,450,7899,175.66
*,Fort Lauderdale     FL,*,Philadelphia/Camden PA,1.21,3,Yes,No,7577.560567,26752,27994,1440377,4948339,Free,Free,997,6541,132.77
*,Houston             TX,*,Philadelphia/Camden PA,1.36,3,No,No,5679.245092,27211,27994,3770125,4948339,Free,Free,1347,4023,353.56
*,Las Vegas           NV,*,Philadelphia/Camden PA,1.36,3,Yes,No,2494.446357,24575,27994,1197234,4948339,Free,Free,2179,6948,165.9
*,Los Angeles         CA,*,Philadelphia/Camden PA,1.37,3,No,No,3264.938103,24706,27994,9056076,4948339,Free,Free,2407,8981,293.21
*,Miami               FL,*,Philadelphia/Camden PA,1.15,3,Yes,No,4191.139723,21207,27994,2105604,4948339,Free,Free,1026,5725,152.67
*,Minneapolis/St Paul MN,*,Philadelphia/Camden PA,1.18,3,No,No,7362.530068,28739,27994,2761118,4948339,Free,Constrained,979,4149,295.46
*,Orlando             FL,*,Philadelphia/Camden PA,1.14,3,Yes,No,5335.321074,22360,27994,1421287,4948339,Free,Free,872,17853,114.28
*,Albuquerque         NM,*,Phoenix             AZ,1,3,No,Yes,6362.24047,22089,23025,668159,2753373,Free,Free,327,13947,57.05
*,Atlanta             GA,*,Phoenix             AZ,1.25,3,No,No,4275.352265,26993,23025,3532657,2753373,Free,Free,1591,5944,200.09
*,Austin              TX,*,Phoenix             AZ,1.1,3,No,Yes,4252.085324,23665,23025,1038660,2753373,Free,Free,876,4511,105.41
*,Boston              MA,*,Phoenix             AZ,1.7,3,No,No,1710.89592,30124,23025,5787293,2753373,Free,Free,2295,7130,197.42
*,Burbank             CA,*,Phoenix             AZ,1,3,No,Yes,5266.715664,24706,23025,9056076,2753373,Free,Free,363,10529,57.33
ORD,Chicago             IL,*,Phoenix             AZ,1.11,3,No,Yes,2297.846376,29260,23025,7830332,2753373,Controlled,Free,1446,23009,152.1
MDW,Chicago             IL,*,Phoenix             AZ,1.11,3,No,Yes,2297.846376,29260,23025,7830332,2753373,Free,Free,1446,23009,152.1
*,Cleveland           OH,*,Phoenix             AZ,1.56,0,No,Yes,2659.935397,26046,23025,2230955,2753373,Free,Free,1749,4272,166.66
*,Columbus            OH,*,Phoenix             AZ,1.56,3,No,Yes,3391.869499,24502,23025,125722,2753373,Free,Free,1673,4780,158
*,Dallas/Fort Worth   TX,*,Phoenix             AZ,1.1,0,No,No,4711.468944,28637,23025,3036732,2753373,Free,Free,870,7060,229.84
*,Denver              CO,*,Phoenix             AZ,1.02,0,No,No,3959.074303,29055,23025,1862106,2753373,Free,Free,590,11723,133.04
*,Detroit             MI,*,Phoenix             AZ,1.22,3,No,Yes,4116.078253,26506,23025,4459144,2753373,Free,Constrained,1682,8384,191.66
*,El Paso             TX,*,Phoenix             AZ,1,3,No,Yes,7231.624169,14600,23025,677757,2753373,Free,Free,353,6211,60.73
*,Houston             TX,*,Phoenix             AZ,1.08,3,No,Yes,3100.412524,27211,23025,3770125,2753373,Free,Free,1014,6277,148.28
*,Kansas City         MO,*,Phoenix             AZ,1.18,3,No,Yes,3725.958917,25450,23025,1694803,2753373,Free,Free,1046,8478,85.48
*,Las Vegas           NV,*,Phoenix             AZ,1,3,Yes,Yes,5619.017029,24575,23025,1197234,2753373,Free,Free,248,22995,53.07
*,Los Angeles         CA,*,Phoenix             AZ,1.01,3,No,Yes,3923.943118,24706,23025,9056076,2753373,Free,Free,366,35471,51.73
*,Minneapolis/St Paul MN,*,Phoenix             AZ,1.12,0,No,No,4317.486925,28739,23025,2761118,2753373,Free,Constrained,1279,8730,195.91
JFK,New York/Newark     NY,*,Phoenix             AZ,1.39,3,No,No,2892.902534,32991,23025,8621121,2753373,Controlled,Free,2148,14830,273.12
LGA,New York/Newark     NY,*,Phoenix             AZ,1.39,3,No,No,2892.902534,32991,23025,8621121,2753373,Controlled,Free,2148,14830,273.12
EWR,New York/Newark     NY,*,Phoenix             AZ,1.39,3,No,No,2892.902534,32991,23025,8621121,2753373,Free,Constrained,2148,14830,273.12
*,Oakland             CA,*,Phoenix             AZ,1.03,3,No,Yes,4787.551493,29846,23025,2237227,2753373,Free,Free,638,8271,84.15
*,Omaha               NE,*,Phoenix             AZ,1.34,3,No,Yes,3442.981263,25127,23025,679984,2753373,Free,Free,1031,5953,81.32
*,Orlando             FL,*,Phoenix             AZ,1.78,3,Yes,Yes,2275.241108,22360,23025,1421287,2753373,Free,Free,1851,4099,162.53
*,Philadelphia/Camden PA,*,Phoenix             AZ,1.55,3,No,No,3127.58946,27994,23025,4948339,2753373,Free,Free,2083,3891,291.78
*,Atlanta             GA,*,Pittsburgh          PA,1.04,3,No,No,4215.012034,26993,25054,3532657,2374260,Free,Constrained,525,7664,93.55
*,Boston              MA,*,Pittsburgh          PA,1.1,3,No,No,9174.829234,30124,25054,5787293,2374260,Free,Constrained,483,5539,186.28
ORD,Chicago             IL,*,Pittsburgh          PA,1.05,3,No,No,4947.279665,29260,25054,7830332,2374260,Controlled,Constrained,412,6585,208.86
MDW,Chicago             IL,*,Pittsburgh          PA,1.05,3,No,No,4947.279665,29260,25054,7830332,2374260,Free,Constrained,412,6585,208.86
JFK,New York/Newark     NY,*,Pittsburgh          PA,1.02,3,No,No,5898.739251,32991,25054,8621121,2374260,Controlled,Constrained,325,13957,169.9
LGA,New York/Newark     NY,*,Pittsburgh          PA,1.02,3,No,No,5898.739251,32991,25054,8621121,2374260,Controlled,Constrained,325,13957,169.9
EWR,New York/Newark     NY,*,Pittsburgh          PA,1.02,3,No,No,5898.739251,32991,25054,8621121,2374260,Free,Constrained,325,13957,169.9
EWR,New York/Newark     NY,*,Pittsburgh          PA,1.02,3,No,No,5898.739251,32991,25054,8621121,2374260,Free,Constrained,325,13957,169.9
*,Orlando             FL,*,Pittsburgh          PA,1.23,3,Yes,No,6166.326774,22360,25054,1421287,2374260,Free,Constrained,831,7121,122.62
*,Philadelphia/Camden PA,*,Pittsburgh          PA,1.02,0,No,No,9935.071799,27994,25054,4948339,2374260,Free,Constrained,264,9515,134.09
*,Boise               ID,*,Portland            OR,1.01,1,No,Yes,4315.920953,23901,26409,372606,249561,Free,Free,344,5899,66.88
ORD,Chicago             IL,*,Portland            OR,1.34,3,No,No,4409.423401,29260,26409,7830332,249561,Controlled,Free,1749,5025,279.61
MDW,Chicago             IL,*,Portland            OR,1.34,3,No,No,4409.423401,29260,26409,7830332,249561,Free,Free,1749,5025,279.61
*,Denver              CO,*,Portland            OR,1.3,3,No,No,6769.311421,29055,26409,1862106,249561,Free,Free,992,4701,188.46
*,Honolulu (Intl)     HI,*,Portland            OR,1.63,3,Yes,No,3784.941896,26681,26409,873131,249561,Free,Free,2603,2746,205.51
*,Las Vegas           NV,*,Portland            OR,1.16,3,Yes,Yes,2318.278598,24575,26409,1197234,249561,Free,Free,760,9497,69.19
*,Los Angeles         CA,*,Portland            OR,1.06,0,No,Yes,3153.677489,24706,26409,9056076,249561,Free,Free,831,16784,91.97
JFK,New York/Newark     NY,*,Portland            OR,1.77,3,No,No,2548.462025,32991,26409,8621121,249561,Controlled,Free,2444,4455,302.33
LGA,New York/Newark     NY,*,Portland            OR,1.77,3,No,No,2548.462025,32991,26409,8621121,249561,Controlled,Free,2444,4455,302.33
EWR,New York/Newark     NY,*,Portland            OR,1.77,1,No,No,2548.462025,32991,26409,8621121,249561,Free,Constrained,2444,4455,302.33
*,Oakland             CA,*,Portland            OR,1.01,3,No,Yes,5281.562,29846,26409,2237227,249561,Free,Free,543,10016,63.76
*,Phoenix             AZ,*,Portland            OR,1.31,3,No,Yes,2710.383251,23025,26409,2753373,249561,Free,Free,1001,8292,114.95
*,Sacramento          CA,*,Portland            OR,1.04,3,No,Yes,5198.854033,24236,26409,1481076,249561,Free,Free,485,7070,65.8
*,Salt Lake City      UT,*,Portland            OR,1.03,3,No,Yes,5680.533864,21121,26409,1228816,249561,Free,Free,633,6602,79.48
